title	artist	key	bpm	camelot	tags	urls
10,000 Reasons (Bless The Lord)	Matt Redman, Passion	G	70	9B	adoration;blessing;christian life	Youtube=https://www.youtube.com/watch?v=r3K3roEF36k;Spotify=https://open.spotify.com/track/0fxpHpK3aw2nFWII6yveDD
Araw Araw	MJ Flores	D	130
Build My Life	Passion, Brett Younker	G	140	9B	exaltation;guidance;his name	Youtube=https://www.youtube.com/watch?v=BGYpF-Jrfew
Build My Life	Pat Barrett	Ab	73	4B	exaltation;guidance;his name	Youtube=https://www.youtube.com/watch?v=g4KZ8uMGync
Give Us Clean Hands	Charlie Hall	G	87
Give Us Clean Hands	Lifeway Worship	C	82	8B
God Is Good All The Time	Don Moen	Am	75	8A
Goodbye, Yesterday	The Worship Initiative	G	150	9B
Here I Am To Worship	Hillsong Worship	E	144
I Give You My Heart	Hillsong Worship	A	146
Praise	Elevation Worship	A	127	11B
So So Good - Live	Phil Wickham	D	116
So So Good	Phil Wickham	D	116
That's Who I Praise	Brandon Lake	Eb	112
Washed	Elevation Rhythm	B	139	1B	renewal	Spotify=https://open.spotify.com/track/1w7teeq2bQ0N3JzIUUrvV0
What An Awesome God	Phil Wickham	A	148
Yeshua	Jesus Image	A	92
Your Grace Is Enough	Chris Tomlin	A	120	11B
Dakilang Katapatan	Papuri! Singers	A	70	11B	tagalog	Youtube=https://www.youtube.com/watch?v=v4-ihovxjtE
Kay Buti-Buti Mo Panginoon	Luis 'Boy' Baldomaro	G	69	9B	tagalog	Youtube=https://www.youtube.com/watch?v=4p-zsjuvanE
Diyos Ka Sa Amin	Hope Filipino Worship	E	67	12B	tagalog	Youtube=https://www.youtube.com/watch?v=X2DWxYpTQpQ
Lilim	Victory Worship	E	81	12B	tagalog	Youtube=https://www.youtube.com/watch?v=sBum0Prrnmo
Salamat Salamat	Malayang Pilipino Music	F	127	7B	tagalog	Youtube=https://www.youtube.com/watch?v=BMZmyvr5IAM
Araw Araw	MJ Flores	D	130	10B	tagalog	Youtube=https://www.youtube.com/watch?v=wsDSIXQTC0w
Tribes	Victory Worship	Eb	124	5B	tagalog	Youtube=https://www.youtube.com/watch?v=66H4mLGgZ54
Wala Kang Katulad	Musikatha	D	61	10B	tagalog	Genius=https://genius.com/Musikatha-wala-kang-katulad-lyrics
Kalakip Ng Awitin	Emil Evangelista Jr.	G	63	9B	tagalog	Spotify=https://open.spotify.com/track/53tJtj4MBkAedqYvQl4prq
Pupurihin Ka Sa Awit	Musikatha	F	67	7B	tagalog	Spotify=https://open.spotify.com/track/1FymDkNAntqtdFhniXC1Po
Sukdulang Biyaya	Musikatha	E	65	12B	tagalog	Spotify=https://open.spotify.com/track/1fh7rTNUNY0Zi6zsMEL19Y
Banal Mong Tahanan	Musikatha	C	68	8B	tagalog	Spotify=https://open.spotify.com/track/2RxJZsf7UjhwTCTtgsitnJ
Sapat Na at Higit Pa	Musikatha	F#	65	2B	tagalog	Spotify=https://open.spotify.com/track/7b6Ta2Z4rXSnJx6YSgcHMS
